project,model,n,rmse_mps,mae_mps,r2,bias_mps
Futo u,base_stack,31,66.38842654144477,53.12173578679059,0.26518045229314535,-6.901641054498262
Futo u,specialist_stack,31,66.91069994086085,53.817407582878594,0.25357342087841495,-5.793291740763843
Galeria,empirical,108,56.83390571028918,40.6496201112515,-0.002392739589804682,-3.9625265586442744
Galeria,rf,108,55.91000991269282,38.08645973280995,0.029932296103284406,-6.7220440737601
Galeria,et,108,56.577177297137816,38.838193293697095,0.006642763560149256,-7.6237295104207226
Galeria,base_stack,108,55.007089911379005,38.64105468714374,0.061011557308167874,-5.5918340203759485
Galeria,specialist_stack,108,55.820935963713396,39.170653842762306,0.033020792432567836,-5.06223486475738
H6-H7,empirical,97,38.96959118139529,31.652259041874046,0.7792467752981002,-17.311238381320806
H6-H7,rf,97,57.94967062279922,39.98413293152603,0.5118454962332752,-4.058989217224512
H6-H7,et,97,56.87573887761884,42.58789849706965,0.5297709451173178,-11.594900447253124
H6-H7,base_stack,97,46.98814205528535,36.95473126345931,0.6790540476276226,-11.775239954765121
H6-H7,specialist_stack,97,48.44250870004326,37.54618504150105,0.6588788801842271,-10.817706019595951
Hungaria krt,empirical,64,79.98382127648279,62.79744739688297,0.05993972153188898,-6.417804125501636
Hungaria krt,rf,64,79.71176421950281,62.710278058398245,0.06632388959110203,1.508567602249001
Hungaria krt,et,64,80.20418911825583,62.514456396854,0.0547525617021587,-0.6670238249087452
Hungaria krt,base_stack,64,79.51222229218902,62.5393552132418,0.0709925690810349,-2.161923878526733
Hungaria krt,specialist_stack,64,80.67532184770204,63.76625607210428,0.04361486422550298,0.05927900917431739
Lang,empirical,164,45.24548616790241,36.880639629343776,0.005494688994924224,17.157140802204665
Lang,rf,164,55.43953799286505,39.649104761141935,-0.49312371501296237,30.842634861464475
Lang,et,164,51.4408457446804,37.59649138899366,-0.2855020958212018,28.497993293864123
Lang,base_stack,164,49.1191961368815,37.1879763190828,-0.17208495127646994,23.73446286736623
Lang,specialist_stack,164,51.70847748266345,38.57001013803475,-0.2989130780112519,25.116496686318186
Marina,empirical,30,27.624662135673674,21.64781076448481,0.7646464659274251,4.136963453143081
Marina,rf,30,42.196110669779316,31.10568699386427,0.4508744903773356,21.859202500983216
Marina,et,30,37.82609256009181,27.11987480079888,0.5587245811992625,20.37159663113533
Marina,base_stack,30,33.185985892545716,25.31211438932773,0.6603463997403423,12.720190074880684
Marina,specialist_stack,30,36.797920859199515,26.690999220979826,0.5823876476175321,14.099074906532783
Paskal,empirical,21,39.96517505543144,37.0812074142698,-0.5145526645041627,18.74760821868719
Paskal,rf,21,37.91832463692083,30.421080696541328,-0.3633872272863825,14.975865954714896
Paskal,et,21,38.53458191459718,34.04352305249936,-0.4080635070794856,17.617308352204294
Paskal,base_stack,21,38.10141579598221,33.908075906907825,-0.3765854270228375,17.08962495258803
Paskal,specialist_stack,21,38.50353754065985,35.1505806895331,-0.4057956821816098,20.257940692279426
Puskas,empirical,389,60.13094089970291,47.74181578024894,0.6553671220273567,-38.50778186721319
Puskas,rf,389,56.18851182375463,43.77140387081744,0.699076733592088,-12.645185087982743
Puskas,et,389,55.13728323551413,42.58794812284982,0.7102313252432925,-18.21022106147673
Puskas,base_stack,389,55.51787128177231,43.9575112678216,0.7062172315954272,-31.351081463743842
Puskas,specialist_stack,389,53.42078782753214,42.37820481558325,0.7279922457920831,-28.903735733899477
River,empirical,39,136.66665263324543,88.39808541109988,0.4334241966777568,-68.71298059950125
River,rf,39,125.7644375265775,84.487823066023,0.5202128480035038,-56.8670597235811
River,et,39,128.73023522089457,87.53691260381386,0.497317190099017,-57.39267354026628
River,base_stack,39,131.05532055012728,86.34775733678273,0.4789946025861961,-62.96047166632517
River,specialist_stack,39,128.88516328120517,85.36810279789437,0.49610649492676806,-61.98081712743679
Tömő u. 23,empirical,28,52.1864265263301,43.068403463550524,0.5519468992704892,13.989736637266784
Tömő u. 23,rf,28,55.112968880558796,45.05342519789178,0.5002854652844133,12.083308875091472
Tömő u. 23,et,28,54.60848415705744,44.96354040048436,0.5093920165802409,10.269457525087605
Tömő u. 23,base_stack,28,53.322019693169736,44.06153007102455,0.5322351863184118,12.964781396955425
Tömő u. 23,specialist_stack,28,53.322019693169736,44.06153007102455,0.5322351863184118,12.964781396955425
