project,cpt_id,z_top_m,z_bot_m,z_mid_m,gwl_m,geo_age,test_method,qc_mpa,fs_mpa,u2_mpa,rf_pct,vs_meas_mps,qt_mpa,z_above_gwl_m,z_below_gwl_m,gamma_sat_kn_m3,gamma_unsat_kn_m3,sigma_v_kpa,u0_kpa,sigma_eff_kpa,bq,log_vs_meas,group_project,group_cpt
Hungaria krt,CPT5,9.0,10.0,9.5,6.8,Tertiary,SCPT,7.231862745098039,0.2447301960784313,0.0856078431372548,3.3840547685216564,230.7,7.257545098039215,0.0,2.7,21.89013304027689,20.89013304027689,201.15626388263044,26.487000000000002,174.66926388263045,0.008378342595164148,5.441118165179708,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,10.0,11.0,10.5,6.8,Tertiary,SCPT,7.785490196078433,0.2942931372549019,0.0829019607843137,3.78002065179066,291.4,7.810360784313727,0.0,3.7,22.175080653339236,21.175080653339236,226.03834686006198,36.297000000000004,189.74134686006198,0.006144907626047699,5.674696893761104,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,11.0,12.0,11.5,6.8,Tertiary,SCPT,8.501411764705882,0.3477376470588235,0.0804313725490196,4.090351775483658,361.5,8.525541176470588,0.0,4.7,22.439415961357856,21.439415961357856,251.25328355561535,46.107000000000006,205.14628355561535,0.0041483174133221225,5.890262041598819,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,12.0,13.0,12.5,6.8,Tertiary,SCPT,9.773607843137254,0.4002758823529411,0.0760980392156863,4.095477215550482,394.1,9.79643725490196,0.0,5.7,22.68304223011432,21.68304223011432,276.738027876429,55.917,220.82102787642899,0.0021199240369269463,5.976604684200958,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,13.0,14.0,13.5,6.8,Tertiary,SCPT,9.902607843137256,0.4012135294117647,0.0710980392156862,4.051594648270508,339.5,9.92393725490196,0.0,6.7,22.701153215985663,21.701153215985663,299.66556841580643,65.727,233.93856841580643,0.0005580722771186846,5.827473946998751,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,14.0,15.0,14.5,6.8,Tertiary,SCPT,6.7169607843137245,0.2743286274509803,0.0689019607843137,4.084118342504342,280.7,6.737631372549019,0.0,7.7,22.081847017976116,21.081847017976116,313.38678176065366,75.537,237.84978176065366,-0.0010328123597909387,5.637286483367837,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,15.0,16.0,15.5,6.8,Tertiary,SCPT,6.524666666666665,0.2452825490196078,0.0663725490196077,3.759311571772881,342.0,6.544578431372547,0.0,8.7,21.931893251586708,20.931893251586708,333.14434539959393,85.347,247.79734539959395,-0.0030547617052302935,5.834810737062605,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,16.0,17.0,16.5,6.8,Tertiary,SCPT,6.638235294117648,0.2226958823529411,0.0591176470588234,3.354745237040318,282.4,6.655970588235295,0.0,9.7,21.81592545724165,20.81592545724165,353.1627700444872,95.157,258.00577004448724,-0.005717983790837132,5.643324505619087,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,17.0,18.0,17.5,6.8,Tertiary,SCPT,6.899156862745097,0.290106862745098,0.0526666666666666,4.2049611063585495,253.3,6.914956862745097,0.0,10.7,22.19198499665348,21.19198499665348,381.5597374414359,104.967,276.59273744143593,-0.008005074899056065,5.5345745570076295,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,18.0,19.0,18.5,6.8,Tertiary,SCPT,9.291411764705884,0.362390980392157,0.0564117647058823,3.900278984176829,321.4,9.308335294117647,0.0,11.7,22.58982696109093,21.58982696109093,411.1117987801822,114.777,296.3347987801822,-0.006559938089079548,5.772686453303412,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,1.0,2.0,1.5,6.8,Quaternary,MASW,5.364843137254904,0.0502776470588235,0.0,0.9371690051789604,262.2764591222678,5.364843137254904,5.3,0.0,19.403062364574094,18.403062364574094,27.60459354686114,0.0,27.60459354686114,0.0,5.569399134931662,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,2.0,3.2,2.6,6.8,Quaternary,MASW,7.836196721311476,0.0691295081967213,0.0,0.8821818881692358,290.34645849246823,7.836196721311476,4.199999999999999,0.0,20.025771684266477,19.025771684266477,49.467006379092844,0.0,49.467006379092844,0.0,5.671074894369702,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,3.2,4.4,3.8,6.8,Quaternary,MASW,25.51037704918033,0.1818998360655737,0.0004426229508196,0.7130425227149604,355.89919580552174,25.510509836065577,3.0,0.0,21.74151213738896,20.74151213738896,78.81774612207803,0.0,78.81774612207803,1.7404384625851427e-05,5.87464753290562,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,4.4,5.5,4.95,6.8,Quaternary,MASW,41.528125,0.2435689285714285,0.0026964285714285,0.5865155929178805,374.2177132653614,41.52893392857143,1.8499999999999996,0.0,22.32059310925666,21.32059310925666,105.53693589082047,0.0,105.53693589082047,6.509433719076566e-05,5.924837749078188,Hungaria krt,Hungaria krt__CPT5
Hungaria krt,CPT5,5.5,6.9,6.2,6.8,Quaternary,MASW,29.386295774647888,0.1392946478873239,0.0226056338028168,0.4740122707384443,338.7293209269103,29.39307746478873,0.5999999999999996,0.0,21.495457531574957,20.495457531574957,127.07183669576473,0.0,127.07183669576473,0.0007724195125937258,5.825201325096361,Hungaria krt,Hungaria krt__CPT5
